web_scraper_order,web_scraper_start_url,price,description,sku,name,data,data2,brand,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image
"1778256957-111","https://www.infinit.com.uy/catalogo/pc/infinit/","958","Garantía: 3 AÑOS / NUEVO","12OFMON22","Equipo PC INTEL Core i5 12400 12va Gen - 16Gb - Ssd 512Gb - Wifi/Bt - Monitor 22"" - Windows 11 Pro - Accesorios","","","INTEL","","940","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_19867.jpg"
"1778256957-112","https://www.infinit.com.uy/catalogo/pc/infinit/","960","Nuevo. Modelo Unitech 27","PRV-EQU2013","Equipo All in One Chuwi Ryzen 5 6600H 32GB 1TB SSD 27"" QHD 180Hz","","","CHUWI","","0","USD","Cód.","","",",40","Comprar","","Nuevo","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_41093.jpg"
"1778256957-113","https://www.infinit.com.uy/catalogo/pc/infinit/","972","Garantía: 3 AÑOS / NUEVO","NG033","PC Gamer AMD Ryzen 7 5700G RAM 16Gb Ddr4 Ssd Nvme 1Tb Video Rx Radeon 2Gb Hdmi Wifi Bt Windows 11 64bit","","","AMD","","955","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_35835.jpg"
"1778256957-114","https://www.infinit.com.uy/catalogo/pc/infinit/","1.007","Garantía: 3 AÑOS / NUEVO","8OFMON22","Equipo PC INTEL Core i5 10400 10ma Gen - 16Gb - Ssd 512Gb - Wifi/Bt - Monitor 22"" - Windows 11 Pro - Accesorios","","","INTEL","","941","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_27029.jpg"
"1778256957-115","https://www.infinit.com.uy/catalogo/pc/infinit/","1.010","Garantía: 6 MESES / RECERTIFICADO","KITNOTHP640G4GEN832G","Notebook HP PROBOOK 640 G4 Intel Core i5 8250u - 32Gb - 1Tb - Pantalla 14 Fhd Huella W11P","","GRIS","HP","","1.003","USD","Cód.","14""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos1_34522.jpg"
"1778256957-116","https://www.infinit.com.uy/catalogo/pc/infinit/","1.023","Garantía: 3 AÑOS / NUEVO","INTEL35","PC Gamer Intel Core i3 12100f Ram 16Gb Ddr4 3200Mhz Nvme 500Gb Gtx 1660 super 6Gb Hdmi Wifi Windows 10 Juegos Instalados","","","INTEL","","1.026","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_20673.jpg"
"1778256957-117","https://www.infinit.com.uy/catalogo/pc/infinit/","1.036","Garantía: 1 AÑO / NUEVO","53012KGP","Notebook HUAWEI Matebook Intel Core i3 10110u 10ma (2 Núcleos) - 8Gb - 256Gb - Pantalla 15.6 Full HD - W10 Pro","","SPACE GREY","HUAWEI","","1.036","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39408.jpg"
"1778256957-118","https://www.infinit.com.uy/catalogo/pc/infinit/","1.042","Garantía: 3 AÑOS / NUEVO","NG32","PC Gamer AMD Ryzen 5 4600G Ram 16Gb Ddr4 Ssd Nvme 1Tb Monitor 24 75hz Wifi Teclado Mouse Rgb W10 Juegos","","","AMD","","957","USD","Cód.","","",",00","Comprar","Destacado","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_24023.jpg"
"1778256957-119","https://www.infinit.com.uy/catalogo/pc/infinit/","1.045","Garantía: 3 AÑOS / NUEVO","NG030-MON1","PC Gamer AMD Ryzen 5 5600G (6 Núcleos) - RAM 16Gb - Ssd 1Tb - Monitor 24"" 100Hz - Wifi/Bt Combo Accesorios Windows","","","AMD","","1.045","USD","Cód.","","",",00","Comprar","","","Antes","USD","Precio","IVA inc.","En stock","En stock","","",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_17945.jpg"
"1778256957-120","https://www.infinit.com.uy/catalogo/pc/infinit/","1.047","Garantía: 1 AÑO / NUEVO","NA607RL011W","Notebook Gamer ASUS Tuf F16 Intel Core 5 210H (8 Núcleos) - Rtx 3050 6Gb - 8Gb - 512Gb - Pantalla 16 144Hz","-3%","NEGRO","ASUS","3","1.074","USD","Cód.","16""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_39323.jpg"
"1778256957-121","https://www.infinit.com.uy/catalogo/pc/infinit/","1.047","Garantía: 1 AÑO / RECERTIFICADO","KITHPPBOOK450G632G","Notebook HP ProBook 450 G5/G6 Intel Core i5 8265u - 32Gb - 1Tb - Pantalla 15.6 HD -  W10p","","PLATA","HP","","1.039","USD","Cód.","15,6""","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","Color","Medida",",00","Cantidad","","https://www.infinit.com.uy/imgs/productos/productos3_39458.jpg"
"1778256957-122","https://www.infinit.com.uy/catalogo/pc/infinit/","1.049","Garantía: 3 AÑOS / NUEVO","9OF","Equipo PC INTEL Core i7 12700 12va - 16Gb - Ssd 512Gb - Wifi/Bt - Windows 11 Pro - Teclado Mouse y Parlantes","-5%","","INTEL","5","1.107","USD","Cód.","","",",00","Comprar","","","Antes","USD","Ahora","IVA inc.","En stock","En stock","","",",00","Cantidad","%","https://www.infinit.com.uy/imgs/productos/productos3_27896.jpg"
